RhythmScore,AudioLoudness,VocalContent,AcousticQuality,InstrumentalScore,LivePerformanceLikelihood,MoodScore,TrackDurationMs,Energy,Duration_min,Duration_log,Duration_band,Loudness_band,Rhythm_x_Energy,Loudness_x_Energy,Mood_x_Energy,Vocal_plus_Instr,Acoustic_minus_Energy,Live_x_Vocal,Energy_to_Acoustic,Loudness_per_min,Audio_mean,Audio_std,Audio_max,Audio_min,BeatsPerMinute
0.4518,-13.9066,0.0235,0.2565,0.0544,0.3517,0.655,209921.89,0.2365,3.4987,12.2545,1.0,0.0,0.1069,-3.2894,0.1549,0.0779,0.02,0.0083,0.9186,-3.9748,0.2899,0.2213,0.655,0.0235,65.1936
0.646,-7.9969,0.1439,0.0,0.0,0.0582,0.3965,217672.55,0.7128,3.6279,12.2908,1.0,2.0,0.4605,-5.7002,0.2826,0.1439,-0.7128,0.0084,708.9998,-2.2043,0.2796,0.3053,0.7128,0.0,87.3308
0.7669,-5.0109,0.1587,0.0,0.0,0.1856,0.3713,200367.77,0.3114,3.3395,12.2079,1.0,3.0,0.2388,-1.5604,0.1156,0.1587,-0.3114,0.0295,309.7398,-1.5005,0.2563,0.2655,0.7669,0.0,88.85
0.4525,-2.6275,0.0762,0.5139,0.4287,0.1449,0.4928,346616.75,0.9533,5.7769,12.756,4.0,4.0,0.4314,-2.5049,0.4698,0.5049,-0.4394,0.011,1.8515,-0.4548,0.4375,0.2862,0.9533,0.0762,159.2938
0.7106,-8.9606,0.0235,0.268,0.0842,0.3345,0.8282,331810.78,0.2762,5.5302,12.7123,4.0,2.0,0.1963,-2.4749,0.2288,0.1077,-0.0082,0.0079,1.0268,-1.6203,0.3608,0.3021,0.8282,0.0235,143.667
0.5883,-1.357,0.169,0.0,0.0727,0.0969,0.5346,285082.53,0.9193,4.7514,12.5605,3.0,4.0,0.5409,-1.2475,0.4915,0.2417,-0.9193,0.0164,914.432,-0.2856,0.3401,0.3441,0.9193,0.0,81.5093
0.5899,-9.262,0.0957,0.5701,0.034,0.329,0.3434,126888.266,0.0281,2.1148,11.7511,0.0,2.0,0.0166,-0.26,0.0096,0.1297,0.542,0.0315,0.0491,-4.3796,0.2843,0.2396,0.5899,0.0281,93.8222
0.4239,-9.6115,0.1695,0.1213,0.0914,0.0243,0.8146,263915.4,0.5935,4.3986,12.4834,3.0,1.0,0.2516,-5.7041,0.4834,0.2609,-0.4722,0.0041,4.8526,-2.1851,0.3198,0.2978,0.8146,0.0243,95.8323
0.6226,-1.357,0.0315,0.5367,0.0601,0.3917,0.6303,313988.78,0.9735,5.2331,12.6571,4.0,4.0,0.6062,-1.3211,0.6136,0.0917,-0.4368,0.0123,1.8104,-0.2593,0.4638,0.3349,0.9735,0.0315,103.0862
0.7739,-8.9532,0.15,0.3925,0.3825,0.2445,0.7822,159770.45,0.0641,2.6628,11.9815,0.0,2.0,0.0496,-0.5742,0.0502,0.5325,0.3284,0.0367,0.163,-3.3623,0.3985,0.2845,0.7822,0.0641,93.5572
0.4313,-10.8295,0.0235,0.2815,0.0665,0.3217,0.4712,285054.0,0.5649,4.7509,12.5604,3.0,1.0,0.2436,-6.1172,0.2662,0.09,-0.2834,0.0076,1.9994,-2.2795,0.3087,0.2033,0.5649,0.0235,126.129
0.6118,-5.7839,0.227,0.2449,0.263,0.2557,0.6439,260937.88,0.2391,4.349,12.472,3.0,3.0,0.1463,-1.3827,0.1539,0.49,0.0058,0.0581,0.9723,-1.33,0.355,0.1869,0.6439,0.227,142.4802
0.8941,-4.0951,0.0235,0.6202,0.1418,0.2939,0.8172,172923.89,0.5089,2.8821,12.0606,0.0,3.0,0.455,-2.0839,0.4158,0.1653,0.1113,0.0069,0.8192,-1.4209,0.4714,0.3323,0.8941,0.0235,125.2637
